token	class
পূর্ব	PLAIN
পাকিস্তানের	PLAIN
ভোটারের	PLAIN
সংখ্যা	PLAIN
ছিল	PLAIN
৩,১২,১৪,৯৩৫	CARDINAL
জন	PLAIN
<eos>	<eos>
স্থল	PLAIN
সীমান্তরেখার	PLAIN
দৈর্ঘ্য	PLAIN
৪২৪৭	CARDINAL
কিলোমিটার	PLAIN
<eos>	<eos>
বাইডেনের	PLAIN
সংগ্রহ	PLAIN
করা	PLAIN
তহবিলের	PLAIN
পরিমাণ	PLAIN
ছিল	PLAIN
২১২০০০০০০	CARDINAL
ডলার	PLAIN
<eos>	<eos>
আমদানি	PLAIN
পণ্যের	PLAIN
শুল্কায়ন	PLAIN
মূল্য	PLAIN
(	SYMBOL
জাহাজভাড়া	PLAIN
,	SYMBOL
বিমাসহ	PLAIN
পণ্যের	PLAIN
মূল্য	PLAIN
)	SYMBOL
ছিল	PLAIN
৬২৯০০০০০০০০০০	CARDINAL
টাকা	PLAIN
<eos>	<eos>
সর্বশেষ	PLAIN
তথ্য	PLAIN
অনুযায়ী	PLAIN
দেশের	PLAIN
জনসংখ্যা	PLAIN
ছিল	PLAIN
১৬৯৮২৮৯১১	CARDINAL
<eos>	<eos>
আহত	PLAIN
হন	PLAIN
২১১	CARDINAL
জন	PLAIN
অফিসার	PLAIN
,	SYMBOL
১৬০	CARDINAL
জন	PLAIN
জেসিও	PLAIN
,	SYMBOL
১১	CARDINAL
জন	PLAIN
এনসিও	ACRONYM
এবং	PLAIN
৩৬৭৬	CARDINAL
সৈনিক	PLAIN
<eos>	<eos>
১৫	CARDINAL
জন	PLAIN
বিচারপতি	PLAIN
নিয়ে	PLAIN
জাতিসংঘের	PLAIN
আওতায়	PLAIN
এর	PLAIN
কার্যক্রম	PLAIN
পরিচালিত	PLAIN
।	SYMBOL
<eos>	<eos>
শেখ	PLAIN
হাসিনার	PLAIN
পদত্যাগের	PLAIN
৬	CARDINAL
দিন	PLAIN
পর	PLAIN
বরগুনায়	PLAIN
আওয়ামী	PLAIN
লীগের	PLAIN
সমাবেশ	PLAIN
<eos>	<eos>
স্থানীয়	PLAIN
মানুষের	PLAIN
কাছে	PLAIN
শম্ভুগঞ্জ	PLAIN
সেতু	PLAIN
নামে	PLAIN
পরিচিত	PLAIN
এই	PLAIN
সেতু	PLAIN
নির্মাণের	PLAIN
৩৩	CARDINAL
বছর	PLAIN
পার	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
৭২	CARDINAL
কোটি	PLAIN
টাকা	PLAIN
ব্যয়ে	PLAIN
নির্মিত	PLAIN
সেতুটি	PLAIN
এরই	PLAIN
মধ্যে	PLAIN
নির্মাণ	PLAIN
ব্যয়ের	PLAIN
টাকা	PLAIN
তুলে	PLAIN
ফেলেছে	PLAIN
।	SYMBOL
<eos>	<eos>
গাজার	PLAIN
বিদ্যালয়ে	PLAIN
২০০০	CARDINAL
পাউন্ডের	PLAIN
বোমা	PLAIN
ফেলল	PLAIN
ইসরায়েল	PLAIN
,	SYMBOL
নারী-শিশুসহ	PLAIN
শতাধিক	PLAIN
নিহত	PLAIN
<eos>	<eos>
বিসিআইসিতে	PLAIN
বড়	PLAIN
নিয়োগ	PLAIN
,	SYMBOL
নবম–দশম	PLAIN
গ্রেডে	PLAIN
পদ	PLAIN
১৯৩	CARDINAL
<eos>	<eos>
রাজধানীতে	PLAIN
২০৭	CARDINAL
মামলায়	PLAIN
২৫৩৬	CARDINAL
জন	PLAIN
গ্রেপ্তার	PLAIN
<eos>	<eos>
৮৮৪	CARDINAL
কোটি	PLAIN
টাকায়	PLAIN
কেনা	PLAIN
হচ্ছে	PLAIN
পৌনে	PLAIN
দুই	CARDINAL
লাখ	PLAIN
টন	PLAIN
সার	PLAIN
<eos>	<eos>
১৬	CARDINAL
থানার	PLAIN
মধ্যে	PLAIN
১৪টি	CARDINAL
সচল	PLAIN
<eos>	<eos>
জুলাই	PLAIN
মাসে	PLAIN
১৯০	CARDINAL
কোটি	PLAIN
৯০	CARDINAL
লাখ	PLAIN
ডলার	PLAIN
প্রবাসী	PLAIN
আয়	PLAIN
দেশে	PLAIN
এসেছে	PLAIN
।	SYMBOL
<eos>	<eos>
২০২৪	DATE
সালের	PLAIN
জানুয়ারিতে	PLAIN
২১১	CARDINAL
কোটি	PLAIN
৩১	CARDINAL
লাখ	PLAIN
,	SYMBOL
ফেব্রুয়া‌রি‌তে	PLAIN
২১৬	CARDINAL
কো‌টি	PLAIN
৪৫	CARDINAL
লাখ	PLAIN
,	SYMBOL
মার্চ	PLAIN
মাসে	PLAIN
১৯৯	CARDINAL
কোটি	PLAIN
৭০	CARDINAL
লাখ	PLAIN
,	SYMBOL
এপ্রিলে	PLAIN
এসেছে	PLAIN
২০৪	CARDINAL
কোটি	PLAIN
৪২	CARDINAL
লাখ	PLAIN
,	SYMBOL
মে	PLAIN
মাসে	PLAIN
এসেছে	PLAIN
২২৫	CARDINAL
কোটি	PLAIN
৩৮	CARDINAL
লাখ	PLAIN
এবং	PLAIN
জুন	PLAIN
মাসে	PLAIN
আছে	PLAIN
২৫৪	CARDINAL
কোটি	PLAIN
১৬	CARDINAL
লাখ	PLAIN
মার্কিন	PLAIN
ডলার	PLAIN
রেমিট্যান্স	PLAIN
।	SYMBOL
<eos>	<eos>
আটটি	CARDINAL
শিক্ষা	PLAIN
বোর্ডের	PLAIN
অধীন	PLAIN
এইচএসসি	ACRONYM
পরীক্ষার	PLAIN
প্রথম	PLAIN
দিনে	PLAIN
অনুপস্থিত	PLAIN
ছিলেন	PLAIN
৯	CARDINAL
হাজার	PLAIN
৯৭০	CARDINAL
জন	PLAIN
পরীক্ষার্থী	PLAIN
।	SYMBOL
<eos>	<eos>
একর	PLAIN
প্রতি	PLAIN
মোট	PLAIN
উৎপাদন	PLAIN
১১৫২৯	CARDINAL
কেজি	PLAIN
।	SYMBOL
<eos>	<eos>
কেন্দ্রীয়	PLAIN
লাইব্রেরিতে	PLAIN
বইয়ের	PLAIN
সংখ্যা	PLAIN
১৩,১৪২	CARDINAL
