token	class
২জানুয়ারি	DATE
,	SYMBOL
১৭৫৭	DATE
<eos>	<eos>
১৮৩০	DATE
-	SYMBOL
এ	PLAIN
কলকাতা	PLAIN
ডকিং	PLAIN
কোম্পানি	PLAIN
প্রতিষ্ঠা	PLAIN
<eos>	<eos>
২রা	DATE
মার্চ	PLAIN
৭১	DATE
ঢাকা	PLAIN
বিশ্ববিদ্যালয়ে	PLAIN
আনুষ্ঠানিকভাবে	PLAIN
বাংলাদেশের	PLAIN
পতাকা	PLAIN
প্রদর্শিত	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
১লা	DATE
বৈশাখ	PLAIN
বাংলা	PLAIN
সনের	PLAIN
প্রথম	PLAIN
দিন	PLAIN
<eos>	<eos>
২০১৮	DATE
সালের	PLAIN
পরিপত্র	PLAIN
পুনর্বহালের	PLAIN
দাবিতে	PLAIN
কয়	PLAIN
দিন	PLAIN
ধরে	PLAIN
নানা	PLAIN
কর্মসূচি	PLAIN
পালন	PLAIN
করছেন	PLAIN
শিক্ষার্থীরা	PLAIN
<eos>	<eos>
সেনা	PLAIN
শাসন	PLAIN
আমল	PLAIN
(	SYMBOL
১৯৭৫	DATE
-	SYMBOL
১৯৯০	DATE
)	SYMBOL
<eos>	<eos>
১৯৫০	DATE
সাল	PLAIN
থেকে	PLAIN
২০২১	DATE
সময়	PLAIN
পর্যন্ত	PLAIN
সাম্প্রতিক	PLAIN
পর্যায়ভুক্ত	PLAIN
<eos>	<eos>
আগামী	PLAIN
৪ঠা	DATE
ফেব্রুয়ারি	PLAIN
,	SYMBOL
২০২৪ইং	DATE
রোজ	PLAIN
রবিবার	PLAIN
ঢাকা	PLAIN
ওয়াসার	PLAIN
কর্মকর্তাগনকে	PLAIN
নিউমোনিয়া	PLAIN
প্রতিরোধক	PLAIN
টিকা	PLAIN
(	SYMBOL
ভ্যাক্সিন	PLAIN
)	SYMBOL
প্রদান	PLAIN
করা	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
কারণ	PLAIN
ব্যাখ্যা	PLAIN
করেছেন	PLAIN
দেশ	PLAIN
স্বাধীন	PLAIN
হবার	PLAIN
পর	PLAIN
১৮ই	DATE
জানুয়ারি	PLAIN
১৯৭২	DATE
ডেভিড	PLAIN
ফ্রস্টকে	PLAIN
দেয়া	PLAIN
এক	PLAIN
সাক্ষাৎকারে	PLAIN
<eos>	<eos>
জনাব	PLAIN
নাসরীন	PLAIN
আফররাজ	PLAIN
৪	DATE
আগস্ট	PLAIN
২০২২খ্রি	DATE
.	SYMBOL
তারিখে	PLAIN
জাতীয়	PLAIN
দক্ষতা	PLAIN
উন্নয়ন	PLAIN
কর্তৃপক্ষ	PLAIN
এর	PLAIN
নির্বাহী	PLAIN
চেয়ারম্যান	PLAIN
দায়িত্বভার	PLAIN
গ্রহণ	PLAIN
করেন	PLAIN
<eos>	<eos>
খ্রিস্টপূর্ব	PLAIN
৫০০০	DATE
থেকে	PLAIN
৩২০০	DATE
অব্দ	PLAIN
পর্যন্ত	PLAIN
<eos>	<eos>
৩২০০	DATE
খ্রিস্টপূর্বাব্দ	PLAIN
থেকে	PLAIN
প্রথম	PLAIN
<eos>	<eos>
৬৭০	DATE
-	SYMBOL
৬৬২	DATE
খ্রিস্টপূর্বাব্দে	PLAIN
<eos>	<eos>
খ্রিস্টপূর্ব	PLAIN
৩২০০	DATE
অব্দে	PLAIN
<eos>	<eos>
২৫০০	DATE
থেকে	PLAIN
১৫০০	DATE
খ্রিস্টপূর্বাব্দ	PLAIN
<eos>	<eos>
৪৭৬	DATE
খ্রিস্টাব্দে	PLAIN
<eos>	<eos>
১৯৪৭	DATE
সালে	PLAIN
বাংলা	PLAIN
দুই	PLAIN
ভাগে	PLAIN
<eos>	<eos>
৩২৭	DATE
-	SYMBOL
২৬	DATE
খ্রিস্টপূর্বাব্দে	PLAIN
<eos>	<eos>
৭৫০	DATE
-	SYMBOL
১১৬১	DATE
খ্রিস্টাব্দ	PLAIN
<eos>	<eos>
৭৪০	DATE
খ্রিস্টাব্দ	PLAIN
থেকে	PLAIN
৮০০	DATE
খ্রিস্টাব্দ	PLAIN
<eos>	<eos>
১৭৪০	DATE
-	SYMBOL
১৭৫৬	DATE
সাল	PLAIN
<eos>	<eos>
১৬৯০	DATE
থেকে	PLAIN
১৬৯২	DATE
সালের	PLAIN
মধ্যে	PLAIN
<eos>	<eos>
২০২৫	DATE
পর্যন্ত	PLAIN
মহাকাশেই	PLAIN
আটকে	PLAIN
থাকার	PLAIN
আশঙ্কা	PLAIN
সুনীতাদের	PLAIN
!	SYMBOL
<eos>	<eos>
১৯৪৭	DATE
-	SYMBOL
এর	PLAIN
আইন	PLAIN
অনুসারে	PLAIN
ভারত	PLAIN
ভাগ	PLAIN
হয়	PLAIN
<eos>	<eos>
১৯৭৫	DATE
-	SYMBOL
এর	PLAIN
১৫ই	DATE
আগস্ট	PLAIN
<eos>	<eos>
১৯৭০	DATE
-	SYMBOL
এর	PLAIN
নির্বাচন	PLAIN
<eos>	<eos>
৬৯	DATE
এর	PLAIN
গণঅভ্যুত্থান	PLAIN
<eos>	<eos>
২৩শে	DATE
ফেব্রুয়ারি	PLAIN
১৯৪৮	DATE
পাকিস্তান	PLAIN
গণপরিষদের	PLAIN
প্রথম	PLAIN
অধিবেশনে	PLAIN
<eos>	<eos>
প্রথম	PLAIN
খণ্ডটির	PLAIN
সময়কাল	PLAIN
১৯৪৮	DATE
-	SYMBOL
১৯৫০	DATE
এবং	PLAIN
দ্বিতীয়	PLAIN
খণ্ডটির	PLAIN
সময়কাল	PLAIN
১৯৫১	DATE
-	SYMBOL
১৯৫২	DATE
<eos>	<eos>
২৯	DATE
জুন	PLAIN
,	SYMBOL
১৯৫২	DATE
<eos>	<eos>
বঙ্গবন্ধুর	PLAIN
ঐতিহাসিক	PLAIN
৭	DATE
মার্চের	PLAIN
(	SYMBOL
১৯৭১	DATE
)	SYMBOL
ভাষণ	PLAIN
তার	PLAIN
প্রকৃষ্ট	PLAIN
উদাহরণ	PLAIN
<eos>	<eos>
১৯৫৫	DATE
থেকে	PLAIN
১৯৬৭	DATE
খ্রিস্টাব্দের	PLAIN
মধ্যে	PLAIN
<eos>	<eos>
কারণ	PLAIN
ব্যাখ্যা	PLAIN
করেছেন	PLAIN
দেশ	PLAIN
স্বাধীন	PLAIN
হবার	PLAIN
পর	PLAIN
১৮ই	DATE
জানুয়ারি	PLAIN
১৯৭২	DATE
ডেভিড	PLAIN
ফ্রস্টকে	PLAIN
দেয়া	PLAIN
এক	PLAIN
সাক্ষাৎকারে	PLAIN
<eos>	<eos>
জুন	PLAIN
১৯৭১	DATE
পর্যন্ত	PLAIN
জাতিসংঘ	PLAIN
ও	PLAIN
অন্যান্য	PLAIN
উৎস	PLAIN
হতে	PLAIN
প্রাপ্ত	PLAIN
সাহায্য	PLAIN
ছিল	PLAIN
২৬	CARDINAL
কোটি	PLAIN
মার্কিন	PLAIN
ডলার	PLAIN
<eos>	<eos>
এই	PLAIN
রাজনৈতিক	PLAIN
ঘটনাগুলো	PLAIN
হলো	PLAIN
১৯৫২	DATE
,	SYMBOL
১৯৫৪	DATE
,	SYMBOL
১৯৫৬	DATE
,	SYMBOL
১৯৬২	DATE
,	SYMBOL
১৯৬৬	DATE
,	SYMBOL
১৯৬৯	DATE
এবং	PLAIN
১৯৭১	DATE
<eos>	<eos>
২০১৪	DATE
সালে	PLAIN
প্রতিষ্ঠিত	PLAIN
হয়	PLAIN
	SYMBOL
১৯৭১	DATE
:	SYMBOL
গণহত্যা	PLAIN
-	SYMBOL
নির্যাতন	PLAIN
আর্কাইভ	PLAIN
ও	PLAIN
জাদুঘর	PLAIN
	SYMBOL
<eos>	<eos>
১৫	DATE
আগস্ট	PLAIN
,	SYMBOL
১৯৭৫	DATE
বাংলাদেশের	PLAIN
ইতিহাসের	PLAIN
কলঙ্কময়	PLAIN
একটি	PLAIN
দিন	PLAIN
<eos>	<eos>
১৯৭২	DATE
এর	PLAIN
সংবিধানের	PLAIN
<eos>	<eos>
(	SYMBOL
১৯৮২	DATE
-	SYMBOL
১৯৯০	DATE
)	SYMBOL
<eos>	<eos>
১৯৭১	DATE
-	SYMBOL
এর	PLAIN
মহান	PLAIN
মুক্তিযুদ্ধ	PLAIN
*	SYMBOL
[	SYMBOL
ট্রেন	PLAIN
দুর্ঘটনায়	PLAIN
নিহতের	PLAIN
সংখ্যা	PLAIN
৩০০	CARDINAL
-	SYMBOL
এর	PLAIN
কাছাকাছি	PLAIN
পৌঁছেছে	PLAIN
।	SYMBOL
]	SYMBOL
<eos>	<eos>
২৮	DATE
শে	PLAIN
নভেম্বর	PLAIN
১৯৮১	DATE
বিয়াল্লিশ	PLAIN
সদস্যের	PLAIN
বিশাল	PLAIN
মন্ত্রিসভা	PLAIN
গঠন	PLAIN
করে	PLAIN
<eos>	<eos>
১৯৮২	DATE
থেকে	PLAIN
১৯৯০	DATE
পর্যন্ত	PLAIN
এরশাদবিরোধী	PLAIN
আন্দোলনে	PLAIN
ছাত্ররা	PLAIN
গুরুত্বপুর্ণ	PLAIN
ভূমিকা	PLAIN
রাখে	PLAIN
<eos>	<eos>
সামরিক	PLAIN
শাসন	PLAIN
ও	PLAIN
পরবর্তী	PLAIN
ঘটনাপ্রবাহ	PLAIN
(	SYMBOL
১৯৭৫	DATE
