token	class
৬ষ্ঠ	ORDINAL
আমের	PLAIN
প্রান্তিক	PLAIN
উপযোগ	PLAIN
শূন্য	PLAIN
<eos>	<eos>
৭ম	ORDINAL
আমের	PLAIN
প্রান্তিক	PLAIN
উপযোগ	PLAIN
ঋণাত্নক	PLAIN
<eos>	<eos>
২রা	ORDINAL
মার্চ	PLAIN
ঢাকা	PLAIN
বিশ্ববিদ্যালয়ে	PLAIN
আনুষ্ঠানিকভাবে	PLAIN
বাংলাদেশের	PLAIN
পতাকা	PLAIN
প্রদর্শিত	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
১লা	ORDINAL
বৈশাখ	PLAIN
<eos>	<eos>
১১শ-১২শ	ORDINAL
শ্রেণীর	PLAIN
বই	PLAIN
<eos>	<eos>
৪র্থ	ORDINAL
গণবিজ্ঞপ্তি	PLAIN
২০২২	CARDINAL
<eos>	<eos>
৮ম	ORDINAL
শ্রেণির	PLAIN
শিক্ষক	PLAIN
সহায়িকা	PLAIN
<eos>	<eos>
৪ঠা	ORDINAL
ফেব্রুয়ারি	PLAIN
<eos>	<eos>
স্বাস্থ্য	PLAIN
অধিদপ্তরের	PLAIN
এমাঅইএস	ACRONYM
শাখার	PLAIN
নন	PLAIN
ক্যাডার	PLAIN
সিনিয়র	PLAIN
কম্পিউটার	PLAIN
অপারেটর	PLAIN
(	SYMBOL
৯ম	ORDINAL
গ্রেড	PLAIN
)	SYMBOL
এর	PLAIN
শুন্য	PLAIN
পদে	PLAIN
নিয়োগ	PLAIN
প্রদান	PLAIN
<eos>	<eos>
১ম	ORDINAL
যোগদানের	PLAIN
তারিখ	PLAIN
হইতে	PLAIN
চাকুরী	PLAIN
স্থায়ী	PLAIN
করন	PLAIN
(	SYMBOL
কনফার্ম	PLAIN
)	SYMBOL
প্রসংঙ্গে	PLAIN
<eos>	<eos>
আমাদের	PLAIN
বিদ্যালয়ের	PLAIN
৪ঠা	ORDINAL
ফেব্রুয়ারি	PLAIN
বার্ষিক	PLAIN
ক্রীড়া	PLAIN
প্রতিযোগিতা	PLAIN
অনুষ্ঠিত	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
বাংলাদেশের	PLAIN
১লা	ORDINAL
মার্চ	PLAIN
স্বাধীনতা	PLAIN
সংগ্রামের	PLAIN
শুরু	PLAIN
হয়েছিল	PLAIN
।	SYMBOL
<eos>	<eos>
কর্মচারীদের	PLAIN
২য়	ORDINAL
সপ্তাহে	PLAIN
দক্ষতা	PLAIN
উন্নয়ন	PLAIN
প্রশিক্ষণ	PLAIN
দেওয়া	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
ছাত্রছাত্রীরা	PLAIN
৩য়	ORDINAL
দিনে	PLAIN
পরীক্ষার	PLAIN
ফলাফল	PLAIN
পেয়ে	PLAIN
খুশি	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
আমাদের	PLAIN
দেশে	PLAIN
৫ই	ORDINAL
মে	PLAIN
জাতীয়	PLAIN
শ্রমিক	PLAIN
দিবস	PLAIN
পালন	PLAIN
করা	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
সেনাবাহিনীর	PLAIN
৬ষ্ঠ	ORDINAL
বাহিনী	PLAIN
দেশের	PLAIN
উত্তর	PLAIN
সীমান্তে	PLAIN
মোতায়েন	PLAIN
করা	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
এই	PLAIN
ভবনের	PLAIN
৭ম	ORDINAL
তলায়	PLAIN
আমাদের	PLAIN
নতুন	PLAIN
অফিস	PLAIN
স্থাপন	PLAIN
করা	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
আমরা	PLAIN
৮ই	ORDINAL
আগস্ট	PLAIN
স্কুলের	PLAIN
বার্ষিক	PLAIN
সাংস্কৃতিক	PLAIN
অনুষ্ঠান	PLAIN
আয়োজন	PLAIN
করব	PLAIN
।	SYMBOL
<eos>	<eos>
স্কুলের	PLAIN
৯ই	ORDINAL
জুলাই	PLAIN
গ্রীষ্মকালীন	PLAIN
ছুটি	PLAIN
শুরু	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
বিদ্যালয়ের	PLAIN
১০ম	ORDINAL
শ্রেণির	PLAIN
ছাত্রছাত্রীরা	PLAIN
পরিবেশ	PLAIN
সচেতনতা	PLAIN
কর্মসূচিতে	PLAIN
অংশগ্রহণ	PLAIN
করেছে	PLAIN
।	SYMBOL
<eos>	<eos>
বাঙালি	PLAIN
সংস্কৃতিতে	PLAIN
১২ই	ORDINAL
ফাল্গুন	PLAIN
একটি	PLAIN
গুরুত্বপূর্ণ	PLAIN
দিন	PLAIN
।	SYMBOL
<eos>	<eos>
বাংলাদেশের	PLAIN
৩২তম	ORDINAL
জাতীয়	PLAIN
ক্রীড়া	PLAIN
প্রতিযোগিতা	PLAIN
সফলভাবে	PLAIN
সম্পন্ন	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
পিএসসির	PLAIN
৩৩তম	ORDINAL
বিসিএস	ACRONYM
পরীক্ষার	PLAIN
ফল	PLAIN
প্রকাশিত	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
আধুনিক	PLAIN
যুগের	PLAIN
৩৪তম	ORDINAL
প্রজন্ম	PLAIN
প্রযুক্তির	PLAIN
সাথে	PLAIN
বেড়ে	PLAIN
উঠছে	PLAIN
।	SYMBOL
<eos>	<eos>
দেশব্যাপী	PLAIN
৩৫তম	ORDINAL
বিজয়	PLAIN
দিবস	PLAIN
উৎসাহ-উদ্দীপনার	PLAIN
সাথে	PLAIN
পালিত	PLAIN
হয়েছে	PLAIN
