token	class
শনিবার	PLAIN
,	SYMBOL
১:১৬	TIME
পূর্বাহ্ন	PLAIN
<eos>	<eos>
প্রকাশ	PLAIN
:	SYMBOL
০৮	DATE
আগস্ট	PLAIN
২০২৪	DATE
,	SYMBOL
১৩	TIME
:	SYMBOL
১১	TIME
<eos>	<eos>
সাইটটি	PLAIN
শেষ	PLAIN
হাল-নাগাদ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
:	SYMBOL
২০২৪-০৮-১১	DATE
১১:০৯:০৪	TIME
<eos>	<eos>
মিটিং	PLAIN
এর	PLAIN
তারিখ	PLAIN
এবং	PLAIN
সময়	PLAIN
:	SYMBOL
২৩-০৫-২০২২	DATE
(	SYMBOL
১১:০০:০০	TIME
)	SYMBOL
<eos>	<eos>
৭	DATE
ফেব্রুয়ারি	PLAIN
২০২৫	DATE
,	SYMBOL
শুক্রবার	PLAIN
,	SYMBOL
১:৩৪	TIME
পূর্বাহ্ন	PLAIN
<eos>	<eos>
০৭	DATE
ফেব্রুয়ারি	PLAIN
২০২৫	DATE
,	SYMBOL
১০:১৫	TIME
এএম	PLAIN
<eos>	<eos>
০৬	DATE
অক্টোবর	PLAIN
২০২৪	DATE
,	SYMBOL
০৫:৫৩	TIME
পিএম	PLAIN
<eos>	<eos>
আপডেট	PLAIN
:	SYMBOL
০০:২১	TIME
,	SYMBOL
শনিবার	PLAIN
,	SYMBOL
০৮	DATE
ফেব্রুয়ারি	PLAIN
,	SYMBOL
২০২৫	DATE
<eos>	<eos>
প্রকাশ	PLAIN
:	SYMBOL
২০:৫৭	TIME
,	SYMBOL
শুক্রবার	PLAIN
,	SYMBOL
০৭	DATE
ফেব্রুয়ারি	PLAIN
,	SYMBOL
২০২৫	DATE
<eos>	<eos>
সোমবার	PLAIN
থেকে	PLAIN
বৃহস্পতিবার	PLAIN
অফিস	PLAIN
চলবে	PLAIN
সকাল	PLAIN
৯:০০	TIME
থেকে	PLAIN
বিকাল	PLAIN
৫:০০	TIME
পর্যন্ত	PLAIN
।	SYMBOL
<eos>	<eos>
সকাল	PLAIN
৮:৩০	TIME
এ	PLAIN
শুরু	PLAIN
হওয়া	PLAIN
মন্ত্রিসভার	PLAIN
বৈঠকে	PLAIN
গুরুত্বপূর্ণ	PLAIN
সিদ্ধান্ত	PLAIN
গৃহীত	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
রাত	PLAIN
১১:৪৫	TIME
এ	PLAIN
ঘটে	PLAIN
যাওয়া	PLAIN
দুর্ঘটনায়	PLAIN
দুইজন	PLAIN
আহত	PLAIN
হয়েছেন	PLAIN
।	SYMBOL
<eos>	<eos>
বিকাল	PLAIN
৪:১৫	TIME
থেকে	PLAIN
শুরু	PLAIN
হওয়া	PLAIN
বৃষ্টিপাত	PLAIN
সন্ধ্যা	PLAIN
৭:৩০	TIME
পর্যন্ত	PLAIN
অব্যাহত	PLAIN
ছিল	PLAIN
।	SYMBOL
<eos>	<eos>
দুপুর	PLAIN
১২:০০	TIME
টায়	PLAIN
প্রধানমন্ত্রীর	PLAIN
সাংবাদিক	PLAIN
সম্মেলন	PLAIN
অনুষ্ঠিত	PLAIN
হবে	PLAIN
।	SYMBOL
<eos>	<eos>
সকাল	PLAIN
১০:৪৫	TIME
এ	PLAIN
শুরু	PLAIN
হওয়া	PLAIN
নির্বাচনী	PLAIN
প্রচারণায়	PLAIN
হাজার	PLAIN
হাজার	PLAIN
সমর্থক	PLAIN
অংশগ্রহণ	PLAIN
করেন	PLAIN
।	SYMBOL
<eos>	<eos>
রাত	PLAIN
৮:৩০	TIME
থেকে	PLAIN
১০:০০	TIME
পর্যন্ত	PLAIN
সারা	PLAIN
দেশে	PLAIN
বিদ্যুৎ	PLAIN
বিভ্রাট	PLAIN
দেখা	PLAIN
দিয়েছিল	PLAIN
।	SYMBOL
<eos>	<eos>
সকাল	PLAIN
৭:০০	TIME
থেকে	PLAIN
রাত	PLAIN
১১:০০	TIME
পর্যন্ত	PLAIN
ভোট	PLAIN
গ্রহণ	PLAIN
অব্যাহত	PLAIN
থাকবে	PLAIN
।	SYMBOL
<eos>	<eos>
দুপুর	PLAIN
১:৩০	TIME
এ	PLAIN
পার্লামেন্টে	PLAIN
উত্থাপিত	PLAIN
বিলটি	PLAIN
সর্বসম্মতিক্রমে	PLAIN
পাস	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
সন্ধ্যা	PLAIN
৬:০০	TIME
টায়	PLAIN
প্রকাশিত	PLAIN
প্রতিবেদনে	PLAIN
তথ্যগুলি	PLAIN
অসম্পূর্ণ	PLAIN
বলে	PLAIN
জানা	PLAIN
গেছে	PLAIN
।	SYMBOL
<eos>	<eos>
রাত	PLAIN
১২:১৫	TIME
এ	PLAIN
সীমান্তে	PLAIN
আবারও	PLAIN
গোলাগুলির	PLAIN
ঘটনা	PLAIN
ঘটেছে	PLAIN
।	SYMBOL
<eos>	<eos>
সকাল	PLAIN
৯:৩০	TIME
এ	PLAIN
উদ্বোধন	PLAIN
হওয়া	PLAIN
জাতীয়	PLAIN
সম্মেলনে	PLAIN
দেশের	PLAIN
প্রখ্যাত	PLAIN
বিজ্ঞানীরা	PLAIN
অংশগ্রহণ	PLAIN
করেছেন	PLAIN
।	SYMBOL
<eos>	<eos>
বিকাল	PLAIN
৩:০০	TIME
টার	PLAIN
দিকে	PLAIN
ভূমিকম্পের	PLAIN
প্রথম	PLAIN
ধাক্কা	PLAIN
অনুভূত	PLAIN
হয়	PLAIN
।	SYMBOL
<eos>	<eos>
মধ্যরাত	PLAIN
১২:০১	TIME
এ	PLAIN
নতুন	PLAIN
আইন	PLAIN
কার্যকর	PLAIN
হয়েছে	PLAIN
।	SYMBOL
<eos>	<eos>
শনিবার	PLAIN
,	SYMBOL
সকাল	PLAIN
১১:৩০	TIME
এ	PLAIN
আয়োজিত	PLAIN
অনুষ্ঠানে	PLAIN
মন্ত্রী	PLAIN
প্রধান	PLAIN
অতিথি	PLAIN
হিসেবে	PLAIN
উপস্থিত	PLAIN
থাকবেন	PLAIN
।	SYMBOL
<eos>	<eos>
২৫	DATE
মার্চ	PLAIN
,	SYMBOL
২০২৫	DATE
,	SYMBOL
ভোর	PLAIN
৫:০০	TIME
