token	class
বাংলাদেশের	PLAIN
মোট	PLAIN
ভূখণ্ডে	PLAIN
১০,০৪১.২৫	DECIMAL
একর	PLAIN
জমি	PLAIN
যোগ	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
জাতীয়	PLAIN
আয়ের	PLAIN
২৪.৬১	DECIMAL
শতাংশ	PLAIN
থেকে	PLAIN
বৃদ্ধি	PLAIN
পেয়ে	PLAIN
২৭.৮৯	DECIMAL
শতাংশে	PLAIN
উন্নীত	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
আগামী	PLAIN
৩১	CARDINAL
বছরে	PLAIN
যোগাযোগ	PLAIN
খাতে	PLAIN
পদ্মা	PLAIN
সেতু	PLAIN
থেকে	PLAIN
আয়	PLAIN
হবে	PLAIN
১৮.৫	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
<eos>	<eos>
যা	PLAIN
ছিল	PLAIN
সরকারি	PLAIN
মোট	PLAIN
ব্যয়ের	PLAIN
৫৬.৪	DECIMAL
শতাংশ	PLAIN
<eos>	<eos>
উর্দুভাষী	PLAIN
ছিল	PLAIN
মাত্র	PLAIN
৩.২৭	DECIMAL
শতাংশ	PLAIN
<eos>	<eos>
পূর্ব	PLAIN
পাকিস্তান	PLAIN
জাতীয়	PLAIN
পরিষদে	PLAIN
৭৫.১০	DECIMAL
শতাংশ	PLAIN
ভোট	PLAIN
পায়	PLAIN
<eos>	<eos>
সূর্য	PLAIN
থেকে	PLAIN
শুক্র	PLAIN
গ্রহের	PLAIN
দূরত্ব	PLAIN
১০.৮	DECIMAL
কোটি	PLAIN
কিলোমিটার	PLAIN
<eos>	<eos>
জুন	PLAIN
মাসে	PLAIN
এই	PLAIN
সূচকের	PLAIN
মান	PLAIN
ছিল	PLAIN
৬৩.৫	DECIMAL
<eos>	<eos>
তুলনামূলক	PLAIN
কঠিন	PLAIN
কন্ডিশনে	PLAIN
ব্যাটিং	PLAIN
করেও	PLAIN
মোট	PLAIN
২৫৭	CARDINAL
রান	PLAIN
করেছেন	PLAIN
১৫৬.৭০	DECIMAL
স্ট্রাইক	PLAIN
রেটে।	PLAIN
<eos>	<eos>
দেশের	PLAIN
নিট	PLAIN
রিজার্ভ	PLAIN
এখন	PLAIN
১৬.৭৭	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
<eos>	<eos>
মোট	PLAIN
জমির	PLAIN
পরিমাণ	PLAIN
২.৮৯	DECIMAL
একর	PLAIN
<eos>	<eos>
১৯৫	CARDINAL
রানের	PLAIN
টার্গেট	PLAIN
১৯.৩	DECIMAL
ওভারে	PLAIN
টপকে	PLAIN
যায়	PLAIN
ফরচুন	PLAIN
বরিশাল	PLAIN
১৮	CARDINAL
চার	PLAIN
ও	PLAIN
৬	CARDINAL
ছক্কায়।	PLAIN
<eos>	<eos>
বিশ্ববিদ্যালয়ে	PLAIN
ভর্তির	PLAIN
জন্য	PLAIN
ন্যূনতম	PLAIN
GPA	ACRONYM
৩.৫	DECIMAL
প্রয়োজন।	PLAIN
<eos>	<eos>
বাংলাদেশের	PLAIN
মোট	PLAIN
জিডিপি	PLAIN
গত	PLAIN
বছরের	PLAIN
তুলনায়	PLAIN
৭.২১	DECIMAL
শতাংশ	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে।	PLAIN
<eos>	<eos>
নতুন	PLAIN
বিদ্যুৎ	PLAIN
কেন্দ্র	PLAIN
থেকে	PLAIN
প্রতিদিন	PLAIN
৫৬.৭	DECIMAL
মেগাওয়াট	PLAIN
বিদ্যুৎ	PLAIN
উৎপাদিত	PLAIN
হচ্ছে।	PLAIN
<eos>	<eos>
চলতি	PLAIN
বছরে	PLAIN
মুদ্রাস্ফীতি	PLAIN
৬.৮২	DECIMAL
শতাংশে	PLAIN
নেমে	PLAIN
এসেছে।	PLAIN
<eos>	<eos>
সরকারি	PLAIN
হিসাবে	PLAIN
দেশে	PLAIN
বেকারত্বের	PLAIN
হার	PLAIN
এখন	PLAIN
৫.৪৩	DECIMAL
শতাংশ।	PLAIN
<eos>	<eos>
রপ্তানি	PLAIN
আয়	PLAIN
গত	PLAIN
মাসে	PLAIN
৩.৭৫	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
ছাড়িয়েছে।	PLAIN
<eos>	<eos>
নতুন	PLAIN
হাইওয়ে	PLAIN
প্রকল্পের	PLAIN
জন্য	PLAIN
১৭.৮	DECIMAL
কিলোমিটার	PLAIN
জায়গা	PLAIN
অধিগ্রহণ	PLAIN
করা	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
স্বাস্থ্য	PLAIN
খাতে	PLAIN
বরাদ্দ	PLAIN
বাড়িয়ে	PLAIN
জিডিপির	PLAIN
২.৯১	DECIMAL
শতাংশে	PLAIN
উন্নীত	PLAIN
করা	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
নদী	PLAIN
ভাঙনে	PLAIN
গত	PLAIN
বছর	PLAIN
১৮.৪৫	DECIMAL
একর	PLAIN
কৃষি	PLAIN
জমি	PLAIN
নদীগর্ভে	PLAIN
বিলীন	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
পর্যটন	PLAIN
খাতে	PLAIN
বিদেশি	PLAIN
বিনিয়োগ	PLAIN
১২.৬	DECIMAL
শতাংশ	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে।	PLAIN
<eos>	<eos>
বিদ্যালয়গুলোতে	PLAIN
ছাত্রছাত্রী	PLAIN
অনুপাত	PLAIN
এখন	PLAIN
৪৫.৭	DECIMAL
শতাংশ	PLAIN
ছেলে	PLAIN
ও	PLAIN
৫৪.৩	DECIMAL
শতাংশ	PLAIN
মেয়ে।	PLAIN
<eos>	<eos>
গবেষণায়	PLAIN
দেখা	PLAIN
গেছে,	PLAIN
দেশের	PLAIN
৬৭.৮৯	DECIMAL
শতাংশ	PLAIN
মানুষ	PLAIN
প্রতিদিন	PLAIN
ইন্টারনেট	PLAIN
ব্যবহার	PLAIN
করে।	PLAIN
<eos>	<eos>
রাজধানীতে	PLAIN
গড়	PLAIN
তাপমাত্রা	PLAIN
গত	PLAIN
দশ	PLAIN
বছরে	PLAIN
০.৮৭	DECIMAL
ডিগ্রি	PLAIN
সেলসিয়াস	PLAIN
বেড়েছে।	PLAIN
<eos>	<eos>
নতুন	PLAIN
ট্যাক্স	PLAIN
নীতিতে	PLAIN
আয়কর	PLAIN
১১.২৫	DECIMAL
শতাংশ	PLAIN
থেকে	PLAIN
কমিয়ে	PLAIN
১০.৭৫	DECIMAL
শতাংশ	PLAIN
করা	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
বিশ্বব্যাংকের	PLAIN
ঋণের	PLAIN
৪.৬	DECIMAL
শতাংশ	PLAIN
সুদে	PLAIN
পরিশোধ	PLAIN
করতে	PLAIN
হবে।	PLAIN
<eos>	<eos>
দেশের	PLAIN
মোট	PLAIN
জনসংখ্যার	PLAIN
৩৪.৬২	DECIMAL
শতাংশ	PLAIN
তরুণ	PLAIN
শ্রেণীর	PLAIN
অন্তর্ভুক্ত।	PLAIN
<eos>	<eos>
সরকারি	PLAIN
কর্মচারীদের	PLAIN
বেতন	PLAIN
কাঠামো	PLAIN
৭.৮৯	DECIMAL
শতাংশ	PLAIN
বাড়ানোর	PLAIN
সিদ্ধান্ত	PLAIN
নেওয়া	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
বৈদেশিক	PLAIN
মুদ্রার	PLAIN
রিজার্ভ	PLAIN
গত	PLAIN
মাসে	PLAIN
৩২.৪৫	DECIMAL
বিলিয়ন	PLAIN
ডলারে	PLAIN
দাঁড়িয়েছে।	PLAIN
<eos>	<eos>
ব্যাংক	PLAIN
ঋণের	PLAIN
সুদের	PLAIN
হার	PLAIN
গড়ে	PLAIN
৯.২১	DECIMAL
শতাংশে	PLAIN
নেমে	PLAIN
এসেছে।	PLAIN
<eos>	<eos>
পদ্মা	PLAIN
সেতুর	PLAIN
মাধ্যমে	PLAIN
দক্ষিণাঞ্চলে	PLAIN
জিডিপি	PLAIN
বৃদ্ধির	PLAIN
হার	PLAIN
২.৭৮	DECIMAL
শতাংশ	PLAIN
বেড়েছে।	PLAIN
<eos>	<eos>
পোশাক	PLAIN
খাতে	PLAIN
বিদেশি	PLAIN
বিনিয়োগ	PLAIN
১৫.৬৭	DECIMAL
শতাংশ	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে।	PLAIN
<eos>	<eos>
দেশের	PLAIN
মোট	PLAIN
বাজেটের	PLAIN
২১.৪৫	DECIMAL
শতাংশ	PLAIN
শিক্ষা	PLAIN
খাতে	PLAIN
বরাদ্দ	PLAIN
রাখা	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
ঢাকা	PLAIN
শহরের	PLAIN
৫.৬৭	DECIMAL
শতাংশ	PLAIN
এলাকা	PLAIN
সবুজে	PLAIN
ঢাকা।	PLAIN
<eos>	<eos>
কৃষি	PLAIN
খাতে	PLAIN
উৎপাদনশীলতা	PLAIN
গত	PLAIN
বছরের	PLAIN
তুলনায়	PLAIN
৪.৩২	DECIMAL
শতাংশ	PLAIN
বেড়েছে।	PLAIN
<eos>	<eos>
চলতি	PLAIN
বছর	PLAIN
প্রবাসীদের	PLAIN
পাঠানো	PLAIN
রেমিট্যান্স	PLAIN
২৩.৪৫	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
ছাড়াবে	PLAIN
বলে	PLAIN
অনুমান	PLAIN
করা	PLAIN
হচ্ছে।	PLAIN
<eos>	<eos>
দেশের	PLAIN
মোট	PLAIN
আমদানি	PLAIN
ব্যয়	PLAIN
১৮.৭	DECIMAL
বিলিয়ন	PLAIN
ডলার	PLAIN
থেকে	PLAIN
কমে	PLAIN
১৬.৯	DECIMAL
বিলিয়ন	PLAIN
ডলারে	PLAIN
নেমে	PLAIN
এসেছে।	PLAIN
<eos>	<eos>
জাতীয়	PLAIN
জরিপে	PLAIN
দেখা	PLAIN
গেছে,	PLAIN
গ্রামীণ	PLAIN
অঞ্চলে	PLAIN
দারিদ্র্যের	PLAIN
হার	PLAIN
২২.৬৪	DECIMAL
শতাংশ।	PLAIN
<eos>	<eos>
শিল্প	PLAIN
খাতে	PLAIN
বিদেশি	PLAIN
বিনিয়োগ	PLAIN
গত	PLAIN
বছরের	PLAIN
তুলনায়	PLAIN
৯.৭	DECIMAL
শতাংশ	PLAIN
বেড়েছে।	PLAIN
<eos>	<eos>
নতুন	PLAIN
পাওয়ার	PLAIN
প্ল্যান্ট	PLAIN
থেকে	PLAIN
দৈনিক	PLAIN
৪৫০.৭৫	DECIMAL
মেগাওয়াট	PLAIN
বিদ্যুৎ	PLAIN
জাতীয়	PLAIN
গ্রিডে	PLAIN
যোগ	PLAIN
হবে।	PLAIN
<eos>	<eos>
রাজস্ব	PLAIN
আদায়	PLAIN
লক্ষ্যমাত্রার	PLAIN
৮৭.৩	DECIMAL
শতাংশ	PLAIN
অর্জিত	PLAIN
হয়েছে।	PLAIN
<eos>	<eos>
সরকারি	PLAIN
স্কুলে	PLAIN
ভর্তির	PLAIN
জন্য	PLAIN
ন্যূনতম	PLAIN
জিপিএ	PLAIN
৪.৫	DECIMAL
