token	class
২০১৬-১৭	DATE
সনের	PLAIN
বাজেটে	PLAIN
সাহায্য	PLAIN
মঞ্জুরী	PLAIN
খাতে	PLAIN
বরাদ্দকৃত	PLAIN
১৯.৬৮,৮৪,০০০	MONEY
/-	SYMBOL
টাকা	PLAIN
<eos>	<eos>
গৃহস্থালি	PLAIN
মিটারে	PLAIN
দাম	PLAIN
বেড়েছে	PLAIN
প্রতি	PLAIN
ঘনমিটারে	PLAIN
৯.১০	MONEY
টাকা	PLAIN
থেকে	PLAIN
১২.৬০	MONEY
টাকা	PLAIN
<eos>	<eos>
গড়ে	PLAIN
প্রতি	PLAIN
ঘনমিটার	PLAIN
গ্যাসের	PLAIN
দাম	PLAIN
৭.৩৮	MONEY
টাকা	PLAIN
থেকে	PLAIN
২.৪২	MONEY
টাকা	PLAIN
বাড়িয়ে	PLAIN
৯.৮০	MONEY
টাকা	PLAIN
নির্ধারণ	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
সার	PLAIN
উৎপাদন	PLAIN
সার	PLAIN
উৎপাদনের	PLAIN
ক্ষেত্রে	PLAIN
গ্যাসের	PLAIN
মূল্য	PLAIN
প্রতি	PLAIN
ঘনমিটারে	PLAIN
২.৭১	MONEY
টাকা	PLAIN
থেকে	PLAIN
বাড়িয়ে	PLAIN
৪.৪৫	MONEY
টাকা	PLAIN
করা	PLAIN
হয়েছে	PLAIN
,	SYMBOL
দাম	PLAIN
বৃদ্ধি	PLAIN
পেয়েছে	PLAIN
প্রায়	PLAIN
৬৫	CARDINAL
ভাগ	PLAIN
<eos>	<eos>
বিদ্যুৎ	PLAIN
উৎপাদন	PLAIN
বিদ্যুৎ	PLAIN
উৎপাদনের	PLAIN
ক্ষেত্রে	PLAIN
প্রতি	PLAIN
ঘনমিটার	PLAIN
গ্যাসের	PLAIN
দাম	PLAIN
৩.১৬	MONEY
টাকা	PLAIN
থেক	PLAIN
বাড়িয়ে	PLAIN
৪.৪৫	MONEY
টাকা	PLAIN
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
শিল্প	PLAIN
কারখানার	PLAIN
পরিচালনা	PLAIN
ব্যয়	PLAIN
শিল্পখাতে	PLAIN
প্রতি	PLAIN
ঘনমিটার	PLAIN
গ্যাসের	PLAIN
দাম	PLAIN
প্রায়	PLAIN
৩৮	CARDINAL
শতাংশ	PLAIN
বাড়িয়ে	PLAIN
৭.৭৬	MONEY
টাকা	PLAIN
থেকে	PLAIN
১০.৭০	MONEY
করা	PLAIN
হয়েছে	PLAIN
<eos>	<eos>
বিটিআরসি	ACRONYM
সূত্রে	PLAIN
জানা	PLAIN
গেছে	PLAIN
,	SYMBOL
সর্বোচ্চ	PLAIN
কলরেট	PLAIN
১.৫০	MONEY
টাকা	PLAIN
করার	PLAIN
কথা	PLAIN
বলা	PLAIN
হলেও	PLAIN
শেষ	PLAIN
পর্যন্ত	PLAIN
এটি	PLAIN
২	MONEY
টাকা	PLAIN
করার	PLAIN
সিদ্ধান্ত	PLAIN
হয়	PLAIN
<eos>	<eos>
কিন্তু	PLAIN
৭৬	CARDINAL
থেকে	PLAIN
